url,name,ticker,address,sector,price,trend,month_return,month_return_pct,Company Type,Listing Status,Industry Sector,Investment Sector,Ticker,Exchange,Previous Day Close,Current Day High & Low,Day's Volume,30 Day Average Volume,52 Week High & Low,Market Cap,Prev. Quarter Dividend,Yield,Prev. Quarter FFO
https://www.reit.com/investing/reit-directory/washington-prime-group,Washington Prime Group,WPG,"Columbus, Ohio",Retail,$6.18,up,0.01,0.00%,REIT,Public,Retail,Equity,WPG,"New York Stock Exchange, Inc. (NYSE)",$6.15,$6.19 - $6.03,"2,176,292","2,359,476",$9.58 - $5.63,$1.15 bil,$0.25,16.26,$422.62 mil
https://www.reit.com/investing/reit-directory/gramercy-property-trust,Gramercy Property Trust,GPT,"New York, New York",Industrial,N/A,,0.00,0.00%,REIT,Public,Industrial,Equity,GPT,"New York Stock Exchange, Inc. (NYSE)",$27.48,$0.00 - $0.00,0,0,$31.10 - $0.00,$0.00,$0.38,0.00,$438.04 mil
https://www.reit.com/investing/reit-directory/avalonbay-communities-inc,"AvalonBay Communities, Inc.",AVB,"Arlington, Virginia",Residential,N/A,up,15.00,0.08%,REIT,Public,Residential,Equity,AVB,"New York Stock Exchange, Inc. (NYSE)",$191.67,$191.91 - $187.71,"789,118","620,819",$194.28 - $153.90,$0.00,$1.47,3.07,"$1,309.73 mil"
https://www.reit.com/investing/reit-directory/essex-property-trust-inc,"Essex Property Trust, Inc.",ESS,"San Mateo, California",Residential,N/A,up,13.86,0.06%,REIT,Public,Residential,Equity,ESS,"New York Stock Exchange, Inc. (NYSE)",$265.68,$267.41 - $262.92,"329,366","443,884",$269.39 - $217.81,$0.00,$1.86,2.80,$952.72 mil
https://www.reit.com/investing/reit-directory/sba-communications-corporation,SBA Communications Corporation,SBAC,"Boca Raton, Florida",Infrastructure,$177.50,up,17.05,0.11%,REIT,Public,Infrastructure,Equity,SBAC,NASDAQ (NASDAQ),$171.51,$171.89 - $167.77,"599,429","910,323",$174.73 - $133.60,$20.11 bil,$0.00,0.00,$848.14 mil
https://www.reit.com/investing/reit-directory/dct-industrial-trust-inc,DCT Industrial Trust Inc.,DCT,"Denver, Colorado",Industrial,N/A,,0.00,0.00%,REIT,Public,Industrial,Equity,DCT,"New York Stock Exchange, Inc. (NYSE)",$0.00,$0.00 - $0.00,0,0,$69.01 - $0.00,$0.00,$0.36,0.00,$271.90 mil
https://www.reit.com/investing/reit-directory/american-tower-corporation,American Tower Corporation,AMT,"Boston, Massachusetts",Infrastructure,$166.90,up,15.66,0.10%,REIT,Public,Infrastructure,Equity,AMT,"New York Stock Exchange, Inc. (NYSE)",$167.63,$168.58 - $165.84,"3,357,428","2,495,520",$167.63 - $130.93,$73.52 bil,$0.79,1.89,"$3,277.80 mil"
https://www.reit.com/investing/reit-directory/simon-property-group-inc,"Simon Property Group, Inc.",SPG,"Indianapolis, Indiana",Retail,$190.36,up,16.58,0.10%,REIT,Public,Retail,Equity,SPG,"New York Stock Exchange, Inc. (NYSE)",$190.59,$190.13 - $187.37,"1,471,991","1,574,138",$190.59 - $146.74,$67.79 bil,$2.00,4.15,"$4,061.70 mil"
https://www.reit.com/investing/reit-directory/public-storage,Public Storage,PSA,"Glendale, California",Self-storage,$221.94,up,15.52,0.08%,REIT,Public,Self-storage,Equity,PSA,"New York Stock Exchange, Inc. (NYSE)",$216.23,$215.69 - $212.54,"1,486,728","1,052,856",$232.71 - $180.49,$38.70 bil,$2.00,3.70,"$1,975.68 mil"
https://www.reit.com/investing/reit-directory/spirit-realty-capital,Spirit Realty Capital,SRC,"Dallas, Texas",Retail,$8.25,,-0.04,-0.01%,REIT,Public,Retail,Equity,SRC,"New York Stock Exchange, Inc. (NYSE)",$7.88,$7.89 - $7.64,"11,292,047","5,489,607",$8.76 - $7.32,$3.53 bil,$0.13,6.35,$386.23 mil
https://www.reit.com/investing/reit-directory/federal-realty-investment-trust,Federal Realty Investment Trust,FRT,"Rockville, Maryland",Retail,N/A,up,14.55,0.12%,REIT,Public,Retail,Equity,FRT,"New York Stock Exchange, Inc. (NYSE)",$135.55,$135.66 - $133.46,"420,179","443,998",$135.55 - $108.11,$0.00,$1.02,3.01,$525.67 mil
https://www.reit.com/investing/reit-directory/coresite-realty-corporation,CoreSite Realty Corporation,COR,"Denver, Colorado",Data centers,$115.00,,-5.55,-0.05%,REIT,Public,Data centers,Equity,COR,"New York Stock Exchange, Inc. (NYSE)",$99.21,$99.59 - $96.26,"275,912","418,358",$119.54 - $90.43,$4.22 bil,$1.03,4.44,$241.10 mil
https://www.reit.com/investing/reit-directory/corepoint-lodging,CorePoint Lodging,CPLG,"Irving, Texas",Lodging / Resorts,$15.40,,-2.52,-0.16%,REIT,Public,Lodging/Resorts,Equity,CPLG,"New York Stock Exchange, Inc. (NYSE)",$13.34,$13.46 - $13.18,"359,718","404,189",$27.89 - $0.00,$918.64 mil,$0.20,6.00,$0.00 mil
https://www.reit.com/investing/reit-directory/senior-housing-properties-trust,Senior Housing Properties Trust,SNH,"Newton, Massachusetts",Health care,$14.55,,-3.29,-0.19%,REIT,Public,Health care,Equity,SNH,NASDAQ (NASDAQ),$13.72,$13.66 - $13.17,"2,815,904","1,964,250",$21.42 - $13.21,$3.46 bil,$0.39,11.37,$422.97 mil
https://www.reit.com/investing/reit-directory/alexanders-inc,"Alexander's, Inc.",ALX,"Paramus, New Jersey",Diversified,$312.87,,-19.67,-0.06%,REIT,Public,Diversified,Equity,ALX,"New York Stock Exchange, Inc. (NYSE)",$310.33,$313.21 - $310.46,"2,463","5,603",$434.99 - $304.13,$1.60 bil,$4.50,5.80,$123.88 mil
https://www.reit.com/investing/reit-directory/colony-credit-real-estate-inc,"Colony Credit Real Estate, Inc.",CLNC,"New York, New York",Mortgage,$22.10,,-3.89,-0.18%,REIT,Public,Mortgage,Mortgage,CLNC,"New York Stock Exchange, Inc. (NYSE)",$17.20,$17.44 - $16.82,"363,814","331,586",$23.00 - $0.00,$2.83 bil,$0.15,10.12,$170.52 mil
https://www.reit.com/investing/reit-directory/zayo-group-holdings-inc,"Zayo Group Holdings, Inc.",ZAYO,"Boulder, Colorado",Diversified,$26.36,,-4.45,-0.15%,REOC,Public,Diversified,Equity,ZAYO,"New York Stock Exchange, Inc. (NYSE)",$26.01,$26.17 - $24.85,"3,216,842","6,638,317",$39.35 - $22.20,$6.24 bil,$0.00,0.00,$848.60 mil
https://www.reit.com/investing/reit-directory/cyrusone-inc,CyrusOne Inc.,CONE,"Carrollton, Texas",Data centers,N/A,,-3.82,-0.06%,REIT,Public,Data centers,Equity,CONE,NASDAQ (NASDAQ),$58.30,$58.78 - $56.96,"768,978","979,779",$68.63 - $48.48,$0.00,$0.46,3.16,$305.50 mil
https://www.reit.com/investing/reit-directory/corporate-office-properties-trust,Corporate Office Properties Trust,OFC,"Columbia, Maryland",Office,N/A,,-3.96,-0.14%,REIT,Public,Office,Equity,OFC,"New York Stock Exchange, Inc. (NYSE)",$24.43,$24.66 - $24.27,"1,041,059","994,270",$35.45 - $24.16,$0.00,$0.28,4.50,$229.61 mil
