url,name,ticker,address,sector,price,trend,month_return,month_return_pct
https://www.reit.com/investing/reit-directory/umh-properties-inc,"UMH Properties, Inc.",UMH,"Freehold, New Jersey",Residential,$13.04,,-1.32,-0.09%
https://www.reit.com/investing/reit-directory/geo-group,The GEO Group,GEO,"Boca Raton, Florida",Specialty,$23.88,,-1.33,-0.05%
https://www.reit.com/investing/reit-directory/government-properties-income-trust,Government Properties Income Trust,GOV,"Newton, Massachusetts",Office,$8.90,,-1.42,-0.14%
https://www.reit.com/investing/reit-directory/corepoint-lodging,CorePoint Lodging,CPLG,"Irving, Texas",Lodging / Resorts,$15.40,,-2.52,-0.16%
https://www.reit.com/investing/reit-directory/senior-housing-properties-trust,Senior Housing Properties Trust,SNH,"Newton, Massachusetts",Health care,$14.55,,-3.29,-0.19%
https://www.reit.com/investing/reit-directory/cyrusone-inc,CyrusOne Inc.,CONE,"Carrollton, Texas",Data centers,N/A,,-3.82,-0.06%
https://www.reit.com/investing/reit-directory/colony-credit-real-estate-inc,"Colony Credit Real Estate, Inc.",CLNC,"New York, New York",Mortgage,$22.10,,-3.89,-0.18%
https://www.reit.com/investing/reit-directory/corporate-office-properties-trust,Corporate Office Properties Trust,OFC,"Columbia, Maryland",Office,N/A,,-3.96,-0.14%
https://www.reit.com/investing/reit-directory/zayo-group-holdings-inc,"Zayo Group Holdings, Inc.",ZAYO,"Boulder, Colorado",Diversified,$26.36,,-4.45,-0.15%
https://www.reit.com/investing/reit-directory/coresite-realty-corporation,CoreSite Realty Corporation,COR,"Denver, Colorado",Data centers,$115.00,,-5.55,-0.05%
https://www.reit.com/investing/reit-directory/alexanders-inc,"Alexander's, Inc.",ALX,"Paramus, New Jersey",Diversified,$312.87,,-19.67,-0.06%
https://www.reit.com/investing/reit-directory/brandywine-realty-trust,Brandywine Realty Trust,BDN,"Philadelphia, Pennsylvania",Office,$14.85,up,0.06,0.00%
https://www.reit.com/investing/reit-directory/arbor-realty-trust-inc,"Arbor Realty Trust, Inc.",ABR,"Uniondale, New York",Mortgage,$12.00,up,0.06,0.01%
https://www.reit.com/investing/reit-directory/cim-commercial-trust-corp,CIM Commercial Trust Corp,CMCT,"Dallas, Texas",Office,$17.28,up,0.05,0.00%
https://www.reit.com/investing/reit-directory/washington-prime-group,Washington Prime Group,WPG,"Columbus, Ohio",Retail,$6.18,up,0.01,0.00%
https://www.reit.com/investing/reit-directory/agnc-investment-corp,AGNC Investment Corp.,AGNC,"Bethesda, Maryland",Mortgage,$17.87,up,0.01,0.00%
https://www.reit.com/investing/reit-directory/gramercy-property-trust,Gramercy Property Trust,GPT,"New York, New York",Industrial,N/A,,0.00,0.00%
https://www.reit.com/investing/reit-directory/dct-industrial-trust-inc,DCT Industrial Trust Inc.,DCT,"Denver, Colorado",Industrial,N/A,,0.00,0.00%
https://www.reit.com/investing/reit-directory/spirit-realty-capital,Spirit Realty Capital,SRC,"Dallas, Texas",Retail,$8.25,,-0.04,-0.01%
https://www.reit.com/investing/reit-directory/capstead-mortgage-corporation,Capstead Mortgage Corporation,CMO,"Dallas, Texas",Mortgage,$8.00,up,0.29,0.04%
https://www.reit.com/investing/reit-directory/mfa-financial-inc,"MFA Financial, Inc.",MFA,"New York, New York",Mortgage,$7.20,up,0.26,0.04%
https://www.reit.com/investing/reit-directory/american-homes-4-rent,American Homes 4 Rent,AMH,"Agoura Hills, California",Residential,N/A,up,0.25,0.01%
https://www.reit.com/investing/reit-directory/lasalle-hotel-properties,LaSalle Hotel Properties,LHO,"Bethesda, Maryland",Lodging / Resorts,N/A,up,0.24,0.01%
https://www.reit.com/investing/reit-directory/global-net-lease,Global Net Lease,GNL,"New York, New York",Retail,$20.25,up,0.23,0.01%
https://www.reit.com/investing/reit-directory/western-asset-mortgage-capital-corporation,Western Asset Mortgage Capital Corporation,WMC,"Pasadena, California",Mortgage,$10.28,up,0.23,0.02%
https://www.reit.com/investing/reit-directory/diamondrock-hospitality-company,DiamondRock Hospitality Company,DRH,"Bethesda, Maryland",Lodging / Resorts,N/A,up,0.22,0.02%
https://www.reit.com/investing/reit-directory/uniti-group-inc,Uniti Group Inc.,UNIT,"Little Rock, Arkansas",Infrastructure,$20.10,up,0.19,0.01%
https://www.reit.com/investing/reit-directory/cedar-realty-trust-inc,"Cedar Realty Trust, Inc.",CDR,"Port Washington, New York",Retail,$3.89,,-0.05,-0.01%
https://www.reit.com/investing/reit-directory/investors-real-estate-trust,Investors Real Estate Trust,IRET,"Minot, North Dakota",Residential,$5.95,,-0.07,-0.01%
https://www.reit.com/investing/reit-directory/sotherly-hotels-inc,Sotherly Hotels Inc.,SOHO,"Williamsburg, Virginia",Lodging / Resorts,N/A,,-0.09,-0.01%
https://www.reit.com/investing/reit-directory/global-self-storage-inc,"Global Self Storage, Inc.",SELF,"New York, New York",Self-storage,N/A,,-0.10,-0.03%
https://www.reit.com/investing/reit-directory/exantas-capital-corp,Exantas Capital Corp.,XAN,"New York, New York",Mortgage,$11.50,,-0.10,-0.01%
https://www.reit.com/investing/reit-directory/seritage-growth-properties,Seritage Growth Properties,SRG,"New York, New York",Retail,$55.00,,-0.12,0.00%
https://www.reit.com/investing/reit-directory/apple-hospitality-reit-inc,"Apple Hospitality REIT, Inc.",APLE,"Richmond, Virginia",Lodging / Resorts,$16.46,,-0.12,-0.01%
https://www.reit.com/investing/reit-directory/tpg-re-finance-trust-inc,"TPG RE Finance Trust, Inc.",TRTX,"New York, New York",Mortgage,$20.60,,-0.17,-0.01%
https://www.reit.com/investing/reit-directory/clipper-realty-inc,Clipper Realty Inc.,CLPR,"Brooklyn, New York",Residential,$14.00,,-0.64,-0.05%
https://www.reit.com/investing/reit-directory/reven-housing-reit-inc,"Reven Housing REIT, Inc.",RVEN,"La Jolla, California",Residential,$3.44,,-0.66,-0.16%
https://www.reit.com/investing/reit-directory/first-reit-new-jersey,First REIT of New Jersey,FREVS,"Hackensack, New Jersey",Diversified,N/A,,-0.70,-0.04%
https://www.reit.com/investing/reit-directory/highwoods-properties-inc,"Highwoods Properties, Inc.",HIW,"Raleigh, North Carolina",Office,$50.00,,-0.73,-0.02%
https://www.reit.com/investing/reit-directory/select-income-reit,Select Income REIT,SIR,"Newton, Massachusetts",Office,$21.00,,-0.82,-0.04%
https://www.reit.com/investing/reit-directory/braemar-hotels-resorts-inc,"Braemar Hotels & Resorts, Inc.",BHR,"Dallas, Texas",Lodging / Resorts,N/A,,-0.83,-0.08%
https://www.reit.com/investing/reit-directory/cbl-properties,CBL Properties,CBL,"Chattanooga, Tennessee",Retail,$2.66,,-0.84,-0.26%
https://www.reit.com/investing/reit-directory/landmark-infrastructure-partners-lp,Landmark Infrastructure Partners LP,LMRK,"El Segundo, California",Infrastructure,$13.56,,-0.84,-0.06%
